EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,MonthlyIncome,OverTime,JobSatisfaction,YearsAtCompany,Attrition
EMP001,50,Female,Divorced,Research & Development,Laboratory Technician,6770,No,4,11,No
EMP002,36,Female,Married,Human Resources,Human Resources,5759,No,3,4,No
EMP003,29,Male,Divorced,Sales,Manager,10531,No,4,11,No
EMP004,42,Male,Married,Sales,Sales Representative,4564,No,2,10,No
EMP005,40,Male,Divorced,Research & Development,Laboratory Technician,5426,No,3,4,No
EMP006,44,Male,Single,Research & Development,Research Scientist,6215,No,3,7,No
EMP007,32,Male,Divorced,Research & Development,Healthcare Representative,4320,No,3,5,No
EMP008,32,Female,Married,Sales,Sales Executive,5151,Yes,4,7,No
EMP009,45,Male,Single,Research & Development,Laboratory Technician,6092,No,2,1,Yes
EMP010,57,Female,Divorced,Sales,Manager,13349,No,4,2,No
EMP011,45,Female,Single,Sales,Manager,12159,No,3,5,No
EMP012,24,Female,Single,Sales,Manager,9933,No,3,11,No
EMP013,43,Male,Single,Research & Development,Healthcare Representative,6538,Yes,3,12,Yes
EMP014,23,Male,Married,Research & Development,Manufacturing Director,10260,No,3,9,No
EMP015,45,Male,Single,Research & Development,Research Scientist,6086,Yes,3,2,No
EMP016,51,Male,Single,Research & Development,Laboratory Technician,6113,No,3,5,No
EMP017,59,Female,Divorced,Research & Development,Manufacturing Director,12998,Yes,1,5,Yes
EMP018,23,Male,Married,Research & Development,Research Scientist,3897,No,3,1,Yes
EMP019,42,Male,Married,Research & Development,Manufacturing Director,11773,No,1,6,No
EMP020,54,Female,Divorced,Research & Development,Laboratory Technician,7675,No,3,11,No
EMP021,33,Male,Divorced,Research & Development,Research Scientist,4454,No,3,1,No
EMP022,43,Female,Married,Research & Development,Laboratory Technician,5133,Yes,3,5,No
EMP023,46,Female,Single,Research & Development,Laboratory Technician,6915,Yes,3,0,Yes
EMP024,48,Female,Married,Research & Development,Research Scientist,6235,No,1,2,No
EMP025,49,Male,Married,Research & Development,Research Scientist,6085,Yes,3,1,No
EMP026,37,Male,Married,Sales,Sales Executive,5979,No,2,6,No
EMP027,36,Female,Married,Research & Development,Healthcare Representative,5077,No,3,13,No
EMP028,24,Male,Single,Research & Development,Research Scientist,5333,Yes,4,3,No
EMP029,58,Female,Married,Research & Development,Research Scientist,7478,No,1,7,No
EMP030,28,Female,Divorced,Research & Development,Research Scientist,4496,No,3,5,No
EMP031,42,Female,Divorced,Research & Development,Research Scientist,6938,Yes,3,11,Yes
EMP032,30,Male,Single,Sales,Manager,10597,No,3,9,No
EMP033,39,Male,Single,Human Resources,Manager,11991,No,2,3,No
EMP034,25,Female,Married,Research & Development,Laboratory Technician,4649,No,2,4,No
EMP035,46,Male,Single,Research & Development,Research Scientist,6830,No,4,12,No
EMP036,35,Male,Single,Sales,Manager,12080,No,3,12,No
EMP037,30,Male,Married,Research & Development,Manufacturing Director,10916,No,2,14,No
EMP038,47,Female,Divorced,Research & Development,Manufacturing Director,11883,No,3,14,No
EMP039,23,Female,Single,Research & Development,Laboratory Technician,4569,No,3,8,No
EMP040,41,Male,Divorced,Research & Development,Research Scientist,5441,No,1,6,No
EMP041,49,Male,Single,Research & Development,Healthcare Representative,7426,No,3,9,No
EMP042,28,Female,Single,Sales,Manager,10808,Yes,3,13,No
EMP043,29,Female,Married,Research & Development,Laboratory Technician,4637,Yes,4,13,No
EMP044,56,Male,Divorced,Sales,Sales Representative,7072,Yes,2,8,No
EMP045,35,Male,Divorced,Research & Development,Laboratory Technician,4626,No,3,6,No
EMP046,38,Female,Married,Sales,Manager,11054,Yes,3,11,No
EMP047,57,Female,Married,Research & Development,Research Scientist,7660,No,3,0,Yes
EMP048,25,Female,Married,Research & Development,Healthcare Representative,4171,Yes,3,11,Yes
EMP049,23,Female,Single,Research & Development,Manufacturing Director,9816,No,3,7,No
EMP050,27,Male,Divorced,Research & Development,Manufacturing Director,10928,Yes,4,3,No
EMP051,25,Male,Married,Research & Development,Research Scientist,5092,No,4,2,No
EMP052,50,Female,Single,Sales,Sales Executive,6859,No,3,13,No
EMP053,39,Female,Married,Research & Development,Research Scientist,6118,No,4,12,No
EMP054,47,Female,Divorced,Sales,Sales Representative,5881,No,3,6,No
EMP055,55,Female,Single,Research & Development,Research Scientist,6189,Yes,3,11,Yes
